title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Rush Hour 3 (2007),258022233,140125968,117896265,3778,PG-13,1.40E+08,August,2007,6.88,20367146.51,183507990.1,Summer
The Bourne Ultimatum (2007),442824138,227471070,215353068,3701,PG-13,1.10E+08,August,2007,6.88,33062655.52,297894526.3,Summer
The Simpsons Movie (2007),527071022,183135014,343936008,3926,PG-13,7.50E+07,July,2007,6.88,26618461.34,239832336.6,Summer
I Now Pronounce You Chuck and Larry (2007),186072214,120059556,66012658,3501,PG-13,8.50E+07,July,2007,6.88,17450516.86,157229156.9,Summer
Harry Potter and the Order of the Phoenix (2007),NA,NA,0,NA,PG-13,1.50E+08,July,2007,6.88,NA,NA,Summer
Transformers (2007),709709780,319246193,390463587,4050,PG-13,1.50E+08,July,2007,6.88,46402062.94,418082587.1,Summer
Evan Almighty (2007),173418781,100462298,72956483,3636,PG,1.75E+08,June,2007,6.88,14602078.2,131564724.6,Summer
Fantastic Four: Rise of the Silver Surfer (2007),289047763,131921738,157126025,3963,PG,1.30E+08,June,2007,6.88,19174671.22,172763787.7,Summer
Ocean's Thirteen (2007),311312624,117154724,194157900,3565,PG-13,NA,June,2007,6.88,17028302.91,153425009.2,Summer
Pirates of the Caribbean: At World's End (2007),963420425,309420425,6.54E+08,4362,PG-13,3.00E+08,May,2007,6.88,44973898.98,405214829.8,Spring
Shrek the Third (2007),798958162,322719944,476238218,4172,PG,1.60E+08,May,2007,6.88,46906968.6,422631787.1,Spring
Spider-Man 3 (2007),890871626,336530303,554341323,4324,PG-13,2.58E+08,May,2007,6.88,48914288.23,440717736.9,Spring
Disturbia (2007),117760134,80209692,37550442,3132,PG-13,2.00E+07,April,2007,6.88,11658385.47,105042053,Spring
Blades of Glory (2007),145708642,118594548,27114094,3467,PG-13,6.10E+07,March,2007,6.88,17237579.65,155310592.7,Spring
TMNT (2007),95608995,54149098,41459897,3120,PG,3.40E+07,March,2007,6.88,7870508.43,70913280.96,Spring
300 (2007),456068181,210614939,245453242,3280,R,6.50E+07,March,2007,6.88,30612636.48,275819854.7,Spring
Wild Hogs (2007),253625427,168273550,85351877,3401,PG-13,NA,March,2007,6.88,24458364.83,220369867.1,Spring
Ghost Rider (2007),228738393,115802596,112935797,3620,PG-13,1.10E+08,February,2007,6.88,16831772.67,151654271.8,Winter
Norbit (2007),159313561,95673607,63639954,3145,PG-13,6.00E+07,February,2007,6.88,13906047.53,125293488.2,Winter
The Messengers (2007),55010659,35374833,19635826,2529,PG-13,1.60E+07,February,2007,6.88,5141690.843,46326634.5,Winter
Epic Movie (2007),86865564,39739367,47126197,2840,PG-13,NA,January,2007,6.88,5776070.785,52042397.77,Winter
Stomp the Yard (2007),75511123,61356221,14154902,2169,PG-13,1.30E+07,January,2007,6.88,8918055.378,80351678.95,Winter
Marley and Me (2008),242717113,143153751,99563362,3505,PG,NA,December,2008,7.18,19937848.33,179640013.4,Winter
Yes Man (2008),223241637,97690976,125550661,3434,PG-13,7.00E+07,December,2008,7.18,13605985.52,122589929.5,Winter
The Day the Earth Stood Still (2008) (2008),233093859,79366978,153726881,3560,PG-13,8.00E+07,December,2008,7.18,11053896.66,99595608.88,Winter
Four Christmases (2008),163733697,120146040,43587657,3540,PG-13,8.00E+07,November,2008,7.18,16733431.75,150768220.1,Fall
Twilight (2008),393616788,192769854,200846934,3649,PG-13,3.70E+07,November,2008,7.18,26848169.08,241902003.4,Fall
Quantum of Solace (2008),586090727,168368427,417722300,3501,PG-13,2.00E+08,November,2008,7.18,23449641.64,211281271.2,Fall
Madagascar: Escape 2 Africa (2008),603900354,180010950,423889404,4065,PG,1.50E+08,November,2008,7.18,25071162.95,225891178.2,Fall
High School Musical 3: Senior Year (2008),252909177,90559416,162349761,3626,G,1.10E+07,October,2008,7.18,12612732.03,113640715.6,Fall
Max Payne (2008),85416905,40689393,44727512,3381,PG-13,3.50E+07,October,2008,7.18,5667046.379,51060087.87,Fall
Beverly Hills Chihuahua (2008),149281606,94514402,54767204,3239,PG,NA,October,2008,7.18,13163565.74,118603727.3,Fall
Eagle Eye (2008),178066569,101440743,76625826,3614,PG-13,8.00E+07,September,2008,7.18,14128237.19,127295417.1,Fall
Lakeview Terrace (2008),44653637,39263506,5390131,2574,PG-13,2.00E+07,September,2008,7.18,5468454.875,49270778.42,Fall
Burn After Reading (2008),163720069,60355347,103364722,2657,R,3.70E+07,September,2008,7.18,8406037.187,75738395.05,Fall
Bangkok Dangerous (2008),42487390,15298133,27189257,2654,R,4.50E+07,September,2008,7.18,2130659.192,19197239.32,Fall
Tropic Thunder (2008),188072649,110515313,77557336,3473,R,9.20E+07,August,2008,7.18,15392104.87,138682864.9,Summer
The Dark Knight (2008),1004934033,535234033,469700000,4366,PG-13,1.85E+08,July,2008,7.18,74545129.94,671651620.8,Summer
Hellboy II: The Golden Army (2008),160388063,75986503,84401560,3212,PG-13,8.50E+07,July,2008,7.18,10583078.41,95353536.49,Summer
Hancock (2008),624386746,227946274,396440472,3965,PG-13,1.50E+08,July,2008,7.18,31747391.92,286044001.2,Summer
WALL-E (2008),533281433,223808164,309473269,3992,G,1.80E+08,June,2008,7.18,31171053.48,280851191.9,Summer
Get Smart (2008),230685453,130319208,100366245,3915,PG-13,8.00E+07,June,2008,7.18,18150307.52,163534270.8,Summer
The Incredible Hulk (2008),263427551,134806913,128620638,3508,PG-13,1.50E+08,June,2008,7.18,18775336.07,169165778,Summer
Kung Fu Panda (2008),NA,NA,0,NA,PG,1.30E+08,June,2008,7.18,NA,NA,Summer
Sex and the City (2008),NA,NA,0,NA,R,6.50E+07,May,2008,7.18,NA,NA,Spring
Indiana Jones and the Kingdom of the Crystal Skull (2008),786636033,317101119,469534914,4264,PG-13,1.85E+08,May,2008,7.18,44164501.25,397922156.3,Spring
The Chronicles of Narnia: Prince Caspian (2008),419665568,141621490,278044078,3929,PG,2.25E+08,May,2008,7.18,19724441.5,177717218,Spring
